id,title,description,product_type,google_product_category,link,image_link,price,brand,condition,availability,model_number,mpn,identifier_exists,material,online_only,size,size_system,gender,age_group,adwords_redirect,color,gtin
1023-138-11,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/e/b/f/cebf2bc9c305ccd1a2a299b921fdd11acc6ecbfe_Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407/Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,S,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Azure,
1023-138-12,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/e/b/f/cebf2bc9c305ccd1a2a299b921fdd11acc6ecbfe_Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407/Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,M,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Azure,
1023-138-13,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/e/b/f/cebf2bc9c305ccd1a2a299b921fdd11acc6ecbfe_Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407/Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,L,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Azure,
1023-138-14,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/e/b/f/cebf2bc9c305ccd1a2a299b921fdd11acc6ecbfe_Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407/Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,XL,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Azure,
1023-138-15,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/e/b/f/cebf2bc9c305ccd1a2a299b921fdd11acc6ecbfe_Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407/Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,2XL,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Azure,
1023-138-42,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/e/b/f/cebf2bc9c305ccd1a2a299b921fdd11acc6ecbfe_Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407/Fruit_Of_The_Loom_Valueweight_TShirt_Azure_1023_407.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,3XL,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Azure,
1023-2-11,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/3/8/f/c38f8573ed5e47449265fae627629ee4a59ef1da_Fruit_Of_The_Loom_Valueweight_TShirt_Black_1023_426/Fruit_Of_The_Loom_Valueweight_TShirt_Black_1023_426.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,S,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Black,
1023-2-12,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/3/8/f/c38f8573ed5e47449265fae627629ee4a59ef1da_Fruit_Of_The_Loom_Valueweight_TShirt_Black_1023_426/Fruit_Of_The_Loom_Valueweight_TShirt_Black_1023_426.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,M,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Black,
1023-2-13,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/3/8/f/c38f8573ed5e47449265fae627629ee4a59ef1da_Fruit_Of_The_Loom_Valueweight_TShirt_Black_1023_426/Fruit_Of_The_Loom_Valueweight_TShirt_Black_1023_426.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,L,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Black,
1023-2-14,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/3/8/f/c38f8573ed5e47449265fae627629ee4a59ef1da_Fruit_Of_The_Loom_Valueweight_TShirt_Black_1023_426/Fruit_Of_The_Loom_Valueweight_TShirt_Black_1023_426.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,XL,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Black,
1023-2-15,Fruit Of The Loom Printed T-Shirt,"<p>This t-shirt represents excellent value for money. With a fine knit gauge for enhanced printability, the Valueweight T is perfect for retail, licensing, tourism, one-off promotions and more. This T-Shirt offers a classic fit and is available in a range of attractive colours.</p><p><strong>Features</strong></p><ul><li>Reduced Chance Of Pilling - the Belcoro yarn enhances the t-shirt's durability</li><li>Smooth Surface - there are fewer loose and broken fibres used within the Belcoro yarn compared to standard yarn which makes it a suitable surface for print and embroidery</li><li>Crew neck with cotton/Lycra rib</li><li>Sizes up to 5XL available in White, Navy, Black and Heather Grey only.</li></ul><p><br> <strong>Fabric </strong></p><p>All colours: 100% Cotton</p><p>Ash: 99% Cotton/1% Polyester</p><p>Heather Grey: 97% Cotton/3% Polyester</p><p>Dark Heather, Vintage Heather Navy, Vintage Heather Red, Retro Heather Green, Retro Heather Royal, Heather Purple, Heather Burgundy: 50% Cotton /50% Polyester</p><p>&nbsp;</p><p><strong>Weight </strong></p><p>Colours 165 gsm</p><p>White 160gsm</p> Product code: 61036.  Product name: Fruit Of The Loom Printed T-Shirt. ",T-Shirts,Apparel & Accessories > Clothing,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,https://ik.imagekit.io/c2o/prd/ik-seo/tr:n-original/c/3/8/f/c38f8573ed5e47449265fae627629ee4a59ef1da_Fruit_Of_The_Loom_Valueweight_TShirt_Black_1023_426/Fruit_Of_The_Loom_Valueweight_TShirt_Black_1023_426.jpg,£7.25,Fruit of the Loom,New,In Stock,61036,61036,TRUE,100% Cotton,Y,2XL,UK,Male,Adult,https://www.clothes2order.com/products/fruit-of-the-loom-men-s-valueweight-t-shirt,Black,
