id,product_name,name,neck,apparel_length,pattern,pocket_type,product_url,product_image,list_price,sale_price,description,size,in_stock,inventory,online,online_from_date,online_to_date,department_name,article_type,category,color,materials,runner_type,age_group,gender,fit,heel_to_toe_drop,sport_name,percentage_discount_badge,vegan,product_type,collection,trouser_rise,fastener,shoe_pronation,technology_purpose,bra_support_level,color_detail,puma_technology,sport_type,surface,style_number,refinement_color,custom_label_0,custom_label_2,custom_label_1
4099686071523,"KING PRO FG/AG Unisex Football Boots in Electric Lime/Black/Poison Pink, Size 11, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/107566.html?dwvar_107566_color=05,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/107566/05/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,120,"PRODUCT STORY Control never felt this comfortable. An icon that spans generations, the KING is back with bold design upgrades and innovative materials that work better – for the player and for the planet. Like the all-new K-BETTER upper material, made with recycled content to reduce environmental impact while improving the signature touch, comfort, and stretch resistance. The new lightweight outsole features an external heel counter, integrated stability spine, and conical studs, so you have as much control over your movement as you do over the ball. FEATURES & BENEFITSThe upper of this shoe is made with at least 30% recycled materials as a step toward a better future. K-BETTER. Made with 60% recycled nylon from pre-consumer waste, this new, non-animal-based upper material takes the signature touch, comfort, and stretch resistance to the next level. The signature KING touch. Only better. DETAILSLightweight TPU outsole with conical studs. Knitted low-cut slip-on construction ensures a comfortable fit. Lightweight removable sockliner. FG/AG: Designed for Firm Ground/Artifical Ground | KING PRO FG/AG Unisex Football Boots in Electric Lime/Black/Poison Pink, Size 11, Textile",11,1,8,1,202401180800,Sun Apr 02 2028 14:00:00 GMT-0000 (GMT),,Low Boot,"Football Boots > Football > Sports,Shoes > Men,Football Boots > Shoes > Men,Shoes > Women,Men > Family and Friends,Women > Outlet,Shoes > Men > Outlet,Black Friday Sale,Men > Shop for > Black Friday Sale,Football > Women > Outlet,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,King > Football > Sports,New Arrivals > Women,New Arrivals > Men,Shoes > Men > Family and Friends,Women > Shop for > Black Friday Sale,Shoes > Women > Family and Friends,Football Boots > Football > Shop by Sport > Black Friday Sale,Outlet,Forever Faster Pack > Football > Sports,Gifts by type > Gift Guide,Football Boots > Shop by Collection > Family and Friends,Shoes > Men > Shop for > Family and Friends,Women > Family and Friends,Football > Shop by Sport > Black Friday Sale,Voltage Pack > Football > Sports,Football > Shop by Sport > Family and Friends,Gear Up Pack > Football > Sports,Men > Outlet,Shoes > Women > Outlet,Shop by Sport > Family and Friends",Electric Lime/Black/Poison Pink,Textile,,Adult,unisex,Regular,0,,40,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,,Football,Firm Ground,107566_05,Green,Included,zombie,on discount
4065454811219,"KING PRO FG/AG Unisex Football Boots in Black/White, Size 8.5, Textile",KING PRO FG/AG Unisex Football Boots,,,Plain,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/107566.html?dwvar_107566_color=01,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/107566/01/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,120,"PRODUCT STORY Control never felt this comfortable. An icon that spans generations, the KING is back with bold design upgrades and innovative materials that work better – for the player and for the planet. Like the all-new K-BETTER upper material, made with recycled content to reduce environmental impact while improving the signature touch, comfort, and stretch resistance. The new lightweight outsole features an external heel counter, integrated stability spine, and conical studs, so you have as much control over your movement as you do over the ball. FEATURES & BENEFITSThe upper of this shoe is made with at least 30% recycled materials as a step toward a better future. K-BETTER. Made with 60% recycled nylon from pre-consumer waste, this new, non-animal-based upper material takes the signature touch, comfort, and stretch resistance to the next level. The signature KING touch. Only better. DETAILSLightweight TPU outsole with conical studs. Knitted low-cut slip-on construction ensures a comfortable fit. Lightweight removable sockliner. FG/AG: Designed for Firm Ground/Artifical Ground | KING PRO FG/AG Unisex Football Boots in Black/White, Size 8.5, Textile",8.5,1,17,1,202306211400,Sun Apr 02 2028 14:00:00 GMT-0000 (GMT),,Low Boot,"Football Boots > Football > Sports,Shoes > Men,Football Boots > Shoes > Men,Shoes > Women,Men > Family and Friends,Women > Outlet,Shoes > Men > Outlet,Black Friday Sale,Men > Shop for > Black Friday Sale,Football > Women > Outlet,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,King > Football > Sports,New Arrivals > Women,New Arrivals > Men,Shoes > Men > Family and Friends,Women > Shop for > Black Friday Sale,Shoes > Women > Family and Friends,Football Boots > Football > Shop by Sport > Black Friday Sale,Outlet,Forever Faster Pack > Football > Sports,Gifts by type > Gift Guide,Football Boots > Shop by Collection > Family and Friends,Shoes > Men > Shop for > Family and Friends,Women > Family and Friends,Football > Shop by Sport > Black Friday Sale,Voltage Pack > Football > Sports,Football > Shop by Sport > Family and Friends,Gear Up Pack > Football > Sports,Men > Outlet,Shoes > Women > Outlet,Shop by Sport > Family and Friends",Black/White,Textile,,Adult,unisex,Regular,0,,40,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,,Football,Firm Ground,107566_01,Black,Included,zombie,on discount
4067983058790,"KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 5.5, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/108308.html?dwvar_108308_color=02,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/108308/02/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,,"PRODUCT STORY Step into royalty with the new KING. They feature a K-BETTER™ upper for that classic KING touch, a lightweight TPU outsole, and supreme cushioning. Designed for those who demand performance and style in every step. The rightful heir is here. FEATURES & BENEFITS Made with at least 20% recycled materials in the upperK-BETTER: Better without leather. Non-animal-based K-BETTER™ upper material for a new and improved take on the signature KING touch, comfort, and durability. DETAILS Removable sockliner and regular tongue construction ensure a comfortable, customised fitLightweight TPU outsole with conical studs provides reliable traction on both firm ground and artificial grassRegular tongue construction fits various foot shapesRegular fitFG/AG: Suitable for use on both firm natural surfaces and artificial grass (4G) | KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 5.5, Textile",5.5,1,7,1,202504100700,,,Low Boot,"Shoes > Men > Family and Friends,Men > Family and Friends,Football > Women > Outlet,New Arrivals > New and Featured,Football Boots > Shoes > Men,Shoes > Men,Shoes > Women,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,Football Boots > Football > Sports,King > Football > Sports,New Arrivals > Men,New Arrivals > Women,Shoes > Women > Family and Friends,Women > Family and Friends,Football Boots > Shop by Collection > Family and Friends,Unlimited Pack > Football > Sports,Audacity Pack > Football > Sports,New and Featured,Football > Shop by Sport > Family and Friends,Shop by Sport > Family and Friends",Silver/Black/Sun Struck,Textile,,Adult,unisex,Regular,0,,,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,GripControl,Football,Firm Ground,108308_02,Metallic,Excluded,zombie,full price
4067983058806,"KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 6.5, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/108308.html?dwvar_108308_color=02,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/108308/02/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,,"PRODUCT STORY Step into royalty with the new KING. They feature a K-BETTER™ upper for that classic KING touch, a lightweight TPU outsole, and supreme cushioning. Designed for those who demand performance and style in every step. The rightful heir is here. FEATURES & BENEFITS Made with at least 20% recycled materials in the upperK-BETTER: Better without leather. Non-animal-based K-BETTER™ upper material for a new and improved take on the signature KING touch, comfort, and durability. DETAILS Removable sockliner and regular tongue construction ensure a comfortable, customised fitLightweight TPU outsole with conical studs provides reliable traction on both firm ground and artificial grassRegular tongue construction fits various foot shapesRegular fitFG/AG: Suitable for use on both firm natural surfaces and artificial grass (4G) | KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 6.5, Textile",6.5,1,9,1,202504100700,,,Low Boot,"Shoes > Men > Family and Friends,Men > Family and Friends,Football > Women > Outlet,New Arrivals > New and Featured,Football Boots > Shoes > Men,Shoes > Men,Shoes > Women,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,Football Boots > Football > Sports,King > Football > Sports,New Arrivals > Men,New Arrivals > Women,Shoes > Women > Family and Friends,Women > Family and Friends,Football Boots > Shop by Collection > Family and Friends,Unlimited Pack > Football > Sports,Audacity Pack > Football > Sports,New and Featured,Football > Shop by Sport > Family and Friends,Shop by Sport > Family and Friends",Silver/Black/Sun Struck,Textile,,Adult,unisex,Regular,0,,,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,GripControl,Football,Firm Ground,108308_02,Metallic,Excluded,zombie,full price
4067983058813,"KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 7.5, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/108308.html?dwvar_108308_color=02,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/108308/02/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,,"PRODUCT STORY Step into royalty with the new KING. They feature a K-BETTER™ upper for that classic KING touch, a lightweight TPU outsole, and supreme cushioning. Designed for those who demand performance and style in every step. The rightful heir is here. FEATURES & BENEFITS Made with at least 20% recycled materials in the upperK-BETTER: Better without leather. Non-animal-based K-BETTER™ upper material for a new and improved take on the signature KING touch, comfort, and durability. DETAILS Removable sockliner and regular tongue construction ensure a comfortable, customised fitLightweight TPU outsole with conical studs provides reliable traction on both firm ground and artificial grassRegular tongue construction fits various foot shapesRegular fitFG/AG: Suitable for use on both firm natural surfaces and artificial grass (4G) | KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 7.5, Textile",7.5,1,11,1,202504100700,,,Low Boot,"Shoes > Men > Family and Friends,Men > Family and Friends,Football > Women > Outlet,New Arrivals > New and Featured,Football Boots > Shoes > Men,Shoes > Men,Shoes > Women,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,Football Boots > Football > Sports,King > Football > Sports,New Arrivals > Men,New Arrivals > Women,Shoes > Women > Family and Friends,Women > Family and Friends,Football Boots > Shop by Collection > Family and Friends,Unlimited Pack > Football > Sports,Audacity Pack > Football > Sports,New and Featured,Football > Shop by Sport > Family and Friends,Shop by Sport > Family and Friends",Silver/Black/Sun Struck,Textile,,Adult,unisex,Regular,0,,,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,GripControl,Football,Firm Ground,108308_02,Metallic,Excluded,zombie,full price
4067983058820,"KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 8.5, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/108308.html?dwvar_108308_color=02,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/108308/02/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,,"PRODUCT STORY Step into royalty with the new KING. They feature a K-BETTER™ upper for that classic KING touch, a lightweight TPU outsole, and supreme cushioning. Designed for those who demand performance and style in every step. The rightful heir is here. FEATURES & BENEFITS Made with at least 20% recycled materials in the upperK-BETTER: Better without leather. Non-animal-based K-BETTER™ upper material for a new and improved take on the signature KING touch, comfort, and durability. DETAILS Removable sockliner and regular tongue construction ensure a comfortable, customised fitLightweight TPU outsole with conical studs provides reliable traction on both firm ground and artificial grassRegular tongue construction fits various foot shapesRegular fitFG/AG: Suitable for use on both firm natural surfaces and artificial grass (4G) | KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 8.5, Textile",8.5,1,12,1,202504100700,,,Low Boot,"Shoes > Men > Family and Friends,Men > Family and Friends,Football > Women > Outlet,New Arrivals > New and Featured,Football Boots > Shoes > Men,Shoes > Men,Shoes > Women,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,Football Boots > Football > Sports,King > Football > Sports,New Arrivals > Men,New Arrivals > Women,Shoes > Women > Family and Friends,Women > Family and Friends,Football Boots > Shop by Collection > Family and Friends,Unlimited Pack > Football > Sports,Audacity Pack > Football > Sports,New and Featured,Football > Shop by Sport > Family and Friends,Shop by Sport > Family and Friends",Silver/Black/Sun Struck,Textile,,Adult,unisex,Regular,0,,,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,GripControl,Football,Firm Ground,108308_02,Metallic,Excluded,zombie,full price
4067983058769,"KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 9, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/108308.html?dwvar_108308_color=02,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/108308/02/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,,"PRODUCT STORY Step into royalty with the new KING. They feature a K-BETTER™ upper for that classic KING touch, a lightweight TPU outsole, and supreme cushioning. Designed for those who demand performance and style in every step. The rightful heir is here. FEATURES & BENEFITS Made with at least 20% recycled materials in the upperK-BETTER: Better without leather. Non-animal-based K-BETTER™ upper material for a new and improved take on the signature KING touch, comfort, and durability. DETAILS Removable sockliner and regular tongue construction ensure a comfortable, customised fitLightweight TPU outsole with conical studs provides reliable traction on both firm ground and artificial grassRegular tongue construction fits various foot shapesRegular fitFG/AG: Suitable for use on both firm natural surfaces and artificial grass (4G) | KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 9, Textile",9,1,10,1,202504100700,,,Low Boot,"Shoes > Men > Family and Friends,Men > Family and Friends,Football > Women > Outlet,New Arrivals > New and Featured,Football Boots > Shoes > Men,Shoes > Men,Shoes > Women,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,Football Boots > Football > Sports,King > Football > Sports,New Arrivals > Men,New Arrivals > Women,Shoes > Women > Family and Friends,Women > Family and Friends,Football Boots > Shop by Collection > Family and Friends,Unlimited Pack > Football > Sports,Audacity Pack > Football > Sports,New and Featured,Football > Shop by Sport > Family and Friends,Shop by Sport > Family and Friends",Silver/Black/Sun Struck,Textile,,Adult,unisex,Regular,0,,,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,GripControl,Football,Firm Ground,108308_02,Metallic,Excluded,zombie,full price
4067983058776,"KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 10, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/108308.html?dwvar_108308_color=02,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/108308/02/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,,"PRODUCT STORY Step into royalty with the new KING. They feature a K-BETTER™ upper for that classic KING touch, a lightweight TPU outsole, and supreme cushioning. Designed for those who demand performance and style in every step. The rightful heir is here. FEATURES & BENEFITS Made with at least 20% recycled materials in the upperK-BETTER: Better without leather. Non-animal-based K-BETTER™ upper material for a new and improved take on the signature KING touch, comfort, and durability. DETAILS Removable sockliner and regular tongue construction ensure a comfortable, customised fitLightweight TPU outsole with conical studs provides reliable traction on both firm ground and artificial grassRegular tongue construction fits various foot shapesRegular fitFG/AG: Suitable for use on both firm natural surfaces and artificial grass (4G) | KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 10, Textile",10,1,11,1,202504100700,,,Low Boot,"Shoes > Men > Family and Friends,Men > Family and Friends,Football > Women > Outlet,New Arrivals > New and Featured,Football Boots > Shoes > Men,Shoes > Men,Shoes > Women,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,Football Boots > Football > Sports,King > Football > Sports,New Arrivals > Men,New Arrivals > Women,Shoes > Women > Family and Friends,Women > Family and Friends,Football Boots > Shop by Collection > Family and Friends,Unlimited Pack > Football > Sports,Audacity Pack > Football > Sports,New and Featured,Football > Shop by Sport > Family and Friends,Shop by Sport > Family and Friends",Silver/Black/Sun Struck,Textile,,Adult,unisex,Regular,0,,,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,GripControl,Football,Firm Ground,108308_02,Metallic,Excluded,zombie,full price
4067983058707,"KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 11.5, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/108308.html?dwvar_108308_color=02,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/108308/02/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,,"PRODUCT STORY Step into royalty with the new KING. They feature a K-BETTER™ upper for that classic KING touch, a lightweight TPU outsole, and supreme cushioning. Designed for those who demand performance and style in every step. The rightful heir is here. FEATURES & BENEFITS Made with at least 20% recycled materials in the upperK-BETTER: Better without leather. Non-animal-based K-BETTER™ upper material for a new and improved take on the signature KING touch, comfort, and durability. DETAILS Removable sockliner and regular tongue construction ensure a comfortable, customised fitLightweight TPU outsole with conical studs provides reliable traction on both firm ground and artificial grassRegular tongue construction fits various foot shapesRegular fitFG/AG: Suitable for use on both firm natural surfaces and artificial grass (4G) | KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 11.5, Textile",11.5,1,11,1,202504100700,,,Low Boot,"Shoes > Men > Family and Friends,Men > Family and Friends,Football > Women > Outlet,New Arrivals > New and Featured,Football Boots > Shoes > Men,Shoes > Men,Shoes > Women,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,Football Boots > Football > Sports,King > Football > Sports,New Arrivals > Men,New Arrivals > Women,Shoes > Women > Family and Friends,Women > Family and Friends,Football Boots > Shop by Collection > Family and Friends,Unlimited Pack > Football > Sports,Audacity Pack > Football > Sports,New and Featured,Football > Shop by Sport > Family and Friends,Shop by Sport > Family and Friends",Silver/Black/Sun Struck,Textile,,Adult,unisex,Regular,0,,,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,GripControl,Football,Firm Ground,108308_02,Metallic,Excluded,zombie,full price
4067983058677,"KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 13, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/108308.html?dwvar_108308_color=02,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/108308/02/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,,"PRODUCT STORY Step into royalty with the new KING. They feature a K-BETTER™ upper for that classic KING touch, a lightweight TPU outsole, and supreme cushioning. Designed for those who demand performance and style in every step. The rightful heir is here. FEATURES & BENEFITS Made with at least 20% recycled materials in the upperK-BETTER: Better without leather. Non-animal-based K-BETTER™ upper material for a new and improved take on the signature KING touch, comfort, and durability. DETAILS Removable sockliner and regular tongue construction ensure a comfortable, customised fitLightweight TPU outsole with conical studs provides reliable traction on both firm ground and artificial grassRegular tongue construction fits various foot shapesRegular fitFG/AG: Suitable for use on both firm natural surfaces and artificial grass (4G) | KING PRO FG/AG Unisex Football Boots in Silver/Black/Sun Struck, Size 13, Textile",13,1,8,1,202504100700,,,Low Boot,"Shoes > Men > Family and Friends,Men > Family and Friends,Football > Women > Outlet,New Arrivals > New and Featured,Football Boots > Shoes > Men,Shoes > Men,Shoes > Women,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,Football Boots > Football > Sports,King > Football > Sports,New Arrivals > Men,New Arrivals > Women,Shoes > Women > Family and Friends,Women > Family and Friends,Football Boots > Shop by Collection > Family and Friends,Unlimited Pack > Football > Sports,Audacity Pack > Football > Sports,New and Featured,Football > Shop by Sport > Family and Friends,Shop by Sport > Family and Friends",Silver/Black/Sun Struck,Textile,,Adult,unisex,Regular,0,,,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,GripControl,Football,Firm Ground,108308_02,Metallic,Excluded,zombie,full price
4099686071448,"KING PRO FG/AG Unisex Football Boots in Electric Lime/Black/Poison Pink, Size 7, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/107566.html?dwvar_107566_color=05,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/107566/05/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,120,"PRODUCT STORY Control never felt this comfortable. An icon that spans generations, the KING is back with bold design upgrades and innovative materials that work better – for the player and for the planet. Like the all-new K-BETTER upper material, made with recycled content to reduce environmental impact while improving the signature touch, comfort, and stretch resistance. The new lightweight outsole features an external heel counter, integrated stability spine, and conical studs, so you have as much control over your movement as you do over the ball. FEATURES & BENEFITSThe upper of this shoe is made with at least 30% recycled materials as a step toward a better future. K-BETTER. Made with 60% recycled nylon from pre-consumer waste, this new, non-animal-based upper material takes the signature touch, comfort, and stretch resistance to the next level. The signature KING touch. Only better. DETAILSLightweight TPU outsole with conical studs. Knitted low-cut slip-on construction ensures a comfortable fit. Lightweight removable sockliner. FG/AG: Designed for Firm Ground/Artifical Ground | KING PRO FG/AG Unisex Football Boots in Electric Lime/Black/Poison Pink, Size 7, Textile",7,1,4,1,202401180800,Sun Apr 02 2028 14:00:00 GMT-0000 (GMT),,Low Boot,"Football > Shop by Sport > Family and Friends,Gear Up Pack > Football > Sports,Men > Outlet,Shoes > Women > Outlet,Football Boots > Shop by Collection > Family and Friends,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,King > Football > Sports,New Arrivals > Women,New Arrivals > Men,Football > Shop by Sport > Black Friday Sale,Voltage Pack > Football > Sports,Gifts by type > Gift Guide,Shoes > Men > Family and Friends,Men > Family and Friends,Women > Family and Friends,Football Boots > Football > Shop by Sport > Black Friday Sale,Shoes > Men,Football Boots > Shoes > Men,Shoes > Women,Shoes > Men > Shop for > Family and Friends,Women > Shop for > Black Friday Sale,Outlet,Forever Faster Pack > Football > Sports,Shoes > Women > Family and Friends,Football > Women > Outlet,Football Boots > Football > Sports,Women > Outlet,Shoes > Men > Outlet,Black Friday Sale,Shop by Sport > Family and Friends,Men > Shop for > Black Friday Sale",Electric Lime/Black/Poison Pink,Textile,,Adult,unisex,Regular,0,,40,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,,Football,Firm Ground,107566_05,Green,Included,zombie,on discount
4099686071455,"KING PRO FG/AG Unisex Football Boots in Electric Lime/Black/Poison Pink, Size 7.5, Textile",KING PRO FG/AG Unisex Football Boots,,,,,https://au.puma.com/au/en/pd/king-pro-fg%2Fag-unisex-football-boots/107566.html?dwvar_107566_color=05,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cb_rgb:fafafa%2Cw_500%2Ch_500/global/107566/05/sv01/fnd/AUS/fmt/png/KING-PRO-FG/AG-Unisex-Football-Boots,200,120,"PRODUCT STORY Control never felt this comfortable. An icon that spans generations, the KING is back with bold design upgrades and innovative materials that work better – for the player and for the planet. Like the all-new K-BETTER upper material, made with recycled content to reduce environmental impact while improving the signature touch, comfort, and stretch resistance. The new lightweight outsole features an external heel counter, integrated stability spine, and conical studs, so you have as much control over your movement as you do over the ball. FEATURES & BENEFITSThe upper of this shoe is made with at least 30% recycled materials as a step toward a better future. K-BETTER. Made with 60% recycled nylon from pre-consumer waste, this new, non-animal-based upper material takes the signature touch, comfort, and stretch resistance to the next level. The signature KING touch. Only better. DETAILSLightweight TPU outsole with conical studs. Knitted low-cut slip-on construction ensures a comfortable fit. Lightweight removable sockliner. FG/AG: Designed for Firm Ground/Artifical Ground | KING PRO FG/AG Unisex Football Boots in Electric Lime/Black/Poison Pink, Size 7.5, Textile",7.5,1,1,1,202401180800,Sun Apr 02 2028 14:00:00 GMT-0000 (GMT),,Low Boot,"Football > Shop by Sport > Family and Friends,Gear Up Pack > Football > Sports,Men > Outlet,Shoes > Women > Outlet,Football Boots > Shop by Collection > Family and Friends,Football > Shoes > Women,Football > Sports > Men,Football > Sports > Women,King > Football > Sports,New Arrivals > Women,New Arrivals > Men,Football > Shop by Sport > Black Friday Sale,Voltage Pack > Football > Sports,Gifts by type > Gift Guide,Shoes > Men > Family and Friends,Men > Family and Friends,Women > Family and Friends,Football Boots > Football > Shop by Sport > Black Friday Sale,Shoes > Men,Football Boots > Shoes > Men,Shoes > Women,Shoes > Men > Shop for > Family and Friends,Women > Shop for > Black Friday Sale,Outlet,Forever Faster Pack > Football > Sports,Shoes > Women > Family and Friends,Football > Women > Outlet,Football Boots > Football > Sports,Women > Outlet,Shoes > Men > Outlet,Black Friday Sale,Shop by Sport > Family and Friends,Men > Shop for > Black Friday Sale",Electric Lime/Black/Poison Pink,Textile,,Adult,unisex,Regular,0,,40,No,Unisex > Shoes > Football Shoes,KING,,Laces,Neutral,,,,,Football,Firm Ground,107566_05,Green,Included,zombie,on discount
